(1) Код товара;(2) Причина
ltv-icdv-423;Текст был изменен
ltv-cmh-402-2;Нет кода товара указанного бренда на сайте
ltv-cmh-402-2;Нет кода товара указанного бренда на сайте
ltv-icdv-423;Текст был изменен
ltv-icdm2-423;Текст был изменен
ltv-cmh-410;Текст был изменен
ltv-cmh-410;Текст был изменен
ltv-icdm1-423;Текст был изменен
ltv-icdm1-423;Текст был изменен
ltv-icdm2-423;Текст был изменен
ltv-cdh-422;Текст был изменен
ltv-cdh-421w;Текст был изменен
ltv-cmh-400-2;Нет кода товара указанного бренда на сайте
ltv-cch-422;Текст был изменен
ltv-cdh-422;Текст был изменен
ltv-cmh-400-2;Нет кода товара указанного бренда на сайте
ltv-cdh-421w;Текст был изменен
ltv-cdh-420-t27;Текст был изменен
ltv-cch-422;Текст был изменен
ltv-cdh-420-t27;Текст был изменен
ltv-cch-420w;Текст был изменен
ltv-cch-420w;Текст был изменен
ltv-cch-402;Текст был изменен
ltv-cch-420;Текст был изменен
ltv-cch-420;Текст был изменен
ltv-cch-402;Текст был изменен
ltv-cch-400;Текст был изменен
ltv-cch-400;Текст был изменен
ltv-cms-700-f36;Нет кода товара указанного бренда на сайте
ltv-bmw-mi1-dc;Нет кода товара указанного бренда на сайте
ltv-cmh-700-f36;Нет кода товара указанного бренда на сайте
ltv-cch-600l-f6;Нет кода товара указанного бренда на сайте
ltv-s190swx;Текст был изменен
ltv-s190swx;Текст был изменен
ltv-s190b-36;Нет кода товара указанного бренда на сайте
ltv-s190b-36;Нет кода товара указанного бренда на сайте
ltv-cms-600l-f43;Нет кода товара указанного бренда на сайте
ltv-cms-700-f36;Нет кода товара указанного бренда на сайте
ltv-cms-600l-f43;Нет кода товара указанного бренда на сайте
ltv-cms-300-f36;Нет кода товара указанного бренда на сайте
ltv-cms-300-f36;Нет кода товара указанного бренда на сайте
ltv-cmh-600h-v4-9;Текст был изменен
ltv-cmh-700-f36;Нет кода товара указанного бренда на сайте
ltv-icdm2-623lh-v33-12;Нет кода товара указанного бренда на сайте
ltv-cmh-600h-v4-9;Текст был изменен
ltv-icdv-623lh-v33-12;Нет кода товара указанного бренда на сайте
ltv-icdv-623lh-v33-12;Нет кода товара указанного бренда на сайте
ltv-icdm2-623lh-v33-12;Нет кода товара указанного бренда на сайте
ltv-icdm1-623lh-v33-12;Нет кода товара указанного бренда на сайте
ltv-cdh-p621lh-v6-50;Нет кода товара указанного бренда на сайте
ltv-cdh-p621lh-v28-12-metal-gray;Нет кода товара указанного бренда на сайте
ltv-cdh-621lhw-v28-12;Нет кода товара указанного бренда на сайте
ltv-cdh-p621lh-v28-12-metal-gray;Нет кода товара указанного бренда на сайте
ltv-cdh-p621lh-v6-50;Нет кода товара указанного бренда на сайте
ltv-cdh-621lhw-v28-12;Нет кода товара указанного бренда на сайте
ltv-cdh-621lhw-v5-50;Текст был изменен
ltv-cdh-621lhw-v5-50;Текст был изменен
ltv-cdh-620lh-v6-50;Текст был изменен
ltv-cdh-620lh-v6-50;Текст был изменен
ltv-cdh-620lh-v28-12-2;Нет кода товара указанного бренда на сайте
ltv-ccs-600l-f6;Текст был изменен
ltv-cdh-620lh-v28-12-2;Нет кода товара указанного бренда на сайте
ltv-ccs-600l-f6;Текст был изменен
ltv-ccs-600-f43;Нет кода товара указанного бренда на сайте
